No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0045,STN0075,STN0254
"679052",Grass,"2",16.23579216,55.049484,"0",18.8209269751222,98.8836256476589,5597.566575,15809.13417,8815.138997
"679053",Grass,"2",21.61506844,55.049484,"0",18.8208817859162,98.8836256787545,5597.205909,15804.74998,8820.140278
"679054",Tree,"2",16.23579216,55.022575,"0",18.8209270121263,98.8836849668532,5603.802606,15812.14479,8815.246641
"679055",Tree,"2",21.61506844,55.022575,"0",18.8208818229202,98.883684997933,5603.442342,15807.76144,8820.247861
"679056",Tree,"2",14.5535574,55.022575,"0",18.8209270417159,98.8837324222087,5608.791458,15814.55466,8815.335948
"679057",Tree,"2",20.24305534,55.022575,"0",18.8208818525097,98.8837324532758,5608.431514,15810.17198,8820.337117
"679058",Tree,"2",14.5535574,54.995703,"0",18.8209270724024,98.8837816571402,5613.967416,15817.05618,8815.431603
"679059",Tree,"2",20.24305534,54.995703,"0",18.8208818831961,98.8837816881941,5613.607804,15812.67419,8820.432718
"679060",Grass,"2",14.5535574,54.968865,"0",18.8209271082484,98.883839196759,5620.01646,15819.98131,8815.547263
"679061",Grass,"2",20.24305534,54.968865,"0",18.8208819190421,98.8838392277975,5619.657234,15815.60013,8820.548312
"679062",Grass,"2",15.79316902,54.968865,"0",18.8209271377988,98.8838866521148,5625.005387,15822.39512,8815.645791
"679063",Grass,"2",19.48561859,54.968865,"0",18.8208819485924,98.8838866831407,5624.64648,15818.01461,8820.646784
"679064",Tree,"2",15.79316902,54.942064,"0",18.8209271747199,98.8839459713096,5631.241579,15825.41409,8815.77294
"679065",Tree,"2",19.48561859,54.942064,"0",18.8208819855133,98.8839460023197,5630.883069,15821.03442,8820.773861
"679066",Tree,"2",16.18126869,54.942064,"0",18.8209272042431,98.8839934266657,5636.230558,15827.83063,8815.877851
"679067",Tree,"2",18.08168221,54.942064,"0",18.8208820150365,98.883993457663,5635.872366,15823.45163,8820.878713
"679068",Tree,"2",16.18126869,54.915298,"0",18.8209272411301,98.8840527458608,5642.466815,15830.85302,8816.012979
